Artists,Tracks,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Views,Likes,Comments,Duration_ms,Stream
Luchè,10,0.5998,0.6734000000000001,6.0,-6.5536,0.13277,0.23145000000000002,4.13e-07,0.21519,0.35948,113.29339999999999,9844710.1,61733.6,814.9,204794.8,28196991.4
Grimes,10,0.5839,0.8196999999999999,7.4,-4.7894,0.06843,0.058455520000000004,0.1442576,0.18977999999999998,0.38872999999999996,132.39440000000002,27683635.8,362274.4,19104.1,220193.0,70647460.0
Super Simple Songs,10,0.7796000000000001,0.29108,4.4,-11.412600000000001,0.07733,0.53724,0.00557735,0.20512999999999998,0.6700999999999999,120.50500000000002,436956069.9,791060.7,0.0,124720.9,34813214.7
C-Kan,10,0.7929,0.6913,7.2,-6.1167,0.16077,0.33969000000000005,1.42e-07,0.15615,0.7923,119.98910000000001,90554692.3,633673.5,24801.2,239639.5,33879142.0
Jaden,10,0.6176,0.7385,5.1,-6.125500000000001,0.11242,0.22864,0.039176681,0.20870000000000002,0.4354,125.94030000000001,30586884.9,577966.7,18367.1,230452.5,113517734.2
Skylar Grey,10,0.5766,0.5603999999999999,4.2,-7.833500000000001,0.06927,0.32076190000000004,0.030245651000000002,0.16217,0.23648000000000002,124.18929999999997,27774690.6,302744.5,9113.3,216247.5,38606528.0
Leo Santana,10,0.7686,0.8442000000000001,6.3,-4.0588999999999995,0.10715999999999999,0.5266,6.681000000000001e-06,0.5467099999999999,0.8711,140.55310000000003,77318477.9,524312.5,9913.8,167937.0,33446598.2
Shilpi Raj,10,0.6604,0.9475999999999999,6.6,-1.7457,0.10264,0.38377999999999995,4.416e-06,0.43920000000000003,0.8966999999999998,136.68959999999998,148549767.2,914990.9,67403.9,208670.2,2961166.8
Rudimental,10,0.6100000000000001,0.7337,4.1,-5.906699999999999,0.07253000000000001,0.1039525,0.007871699999999999,0.23174999999999998,0.40659999999999996,126.28059999999998,189606342.0,837649.8,14503.6,221260.8,211913915.4
Millonario,10,0.8381000000000001,0.7344,5.8,-5.6628,0.18555,0.09257,4.5922000000000005e-05,0.33192999999999995,0.5733,130.23289999999997,52314675.9,396003.5,8614.3,209735.9,37463242.1
Shashaa Tirupati,10,0.5136000000000001,0.5146000000000001,2.9,-8.334700000000002,0.06136000000000001,0.5364500000000001,1.6184e-05,0.12873,0.4631,124.6886,153834596.9,880447.4,27488.5,247338.1,36098598.2
Jay Park,10,0.6447,0.7112999999999998,4.0,-5.4672,0.1515,0.17159,5.9990000000000005e-06,0.12265,0.6457,114.724,44744029.8,634946.5,14651.2,215443.1,45447958.7
Brett Eldredge,10,0.5617,0.6232,7.2,-5.5367999999999995,0.04821,0.33203799999999994,2.4e-06,0.14235,0.6003999999999999,131.2429,8018139.0,34659.1,745.7,185477.1,68885909.3
Lana Del Rey,10,0.4572,0.446,5.0,-9.212799999999998,0.03625,0.5538700000000001,0.07012713,0.13387,0.21617999999999998,110.5626,125290521.6,1270394.1,31937.4,260772.2,337934737.8
The Weeknd,10,0.5865,0.6425000000000001,2.8,-6.593800000000002,0.06643,0.12451599999999999,0.000724315,0.18269,0.2919999999999999,127.69959999999999,704603315.4,4905688.0,142906.4,240270.6,1303197337.6
Maluma,10,0.7991,0.7437,7.3,-4.2874,0.15171,0.21641,0.004814939999999999,0.15748999999999996,0.6285999999999999,123.774,537679495.6,2331059.2,81868.5,202707.2,388927068.9
Feid,10,0.7915000000000001,0.72,3.8,-4.5868,0.11739,0.091312,0.000444443,0.16705,0.549,120.00539999999998,83862588.3,543403.4,9673.1,205878.8,166927564.7
Anuel AA,10,0.7458,0.7632,7.8,-4.382,0.0964,0.21833999999999998,0.003029689,0.18067000000000003,0.6749,117.6086,352798361.2,1598144.2,40197.9,252132.3,339374018.0
Robin Schulz,10,0.6399999999999999,0.7634000000000001,5.3,-6.3751,0.059530000000000007,0.022843999999999996,0.000542841,0.22924000000000003,0.44209999999999994,125.81089999999999,218640524.7,1221322.2,23805.6,189778.9,339839376.7
Meghan Trainor,10,0.7359,0.7331000000000001,4.6,-5.005599999999999,0.09014,0.22727999999999998,7.2223e-05,0.25476,0.8119,118.82950000000001,647485673.4,3456414.6,144004.2,181475.8,401828040.6
A$AP Rocky,10,0.6612000000000001,0.5698,4.6,-8.8447,0.15835,0.280176,0.141760368,0.16632,0.49432,123.0551,115174592.8,975596.8,23074.3,210536.2,330608491.6
Childish Gambino,10,0.6658000000000001,0.5169,2.1,-8.497400000000003,0.13488,0.135388,0.00366539,0.2548,0.4164,118.44029999999998,212456470.2,2228954.0,118314.8,245230.3,437126947.0
Anderson .Paak,10,0.7064000000000001,0.6557999999999999,4.1,-8.987400000000001,0.08001,0.13865500000000003,0.001668122,0.17127,0.7636000000000001,112.3459,95086025.9,1152344.9,32418.7,212098.4,198463886.1
blackbear,10,0.6846,0.655,5.5,-6.0384,0.056220000000000006,0.168961,4.546e-06,0.2432,0.5049000000000001,125.67409999999998,53620502.2,744049.2,16402.2,177403.7,363512237.9
Justin Quiles,10,0.7167,0.746,6.3,-4.596399999999999,0.17635,0.23893,5.4325999999999995e-05,0.24248000000000003,0.7078,134.63660000000002,151155681.1,768430.6,10268.1,227940.6,177294101.0
Sabrina Carpenter,10,0.6115,0.6397,6.3,-5.4786,0.11673,0.198286,5.110000000000001e-07,0.25571,0.4311,132.38420000000002,38845722.6,616850.5,21424.5,167406.6,127645397.3
PARTYNEXTDOOR,10,0.6072,0.5099,4.1,-7.761399999999999,0.06956999999999999,0.20010000000000003,0.0006692029999999999,0.14782,0.19684999999999997,112.13,49745286.0,326709.9,7260.2,206320.3,187459448.0
Russ,10,0.7212,0.5692,6.5,-6.1938,0.18026000000000003,0.33023,0.041274116000000007,0.10965,0.44033,110.41839999999999,105441610.9,917475.5,16515.3,181816.1,231139373.1
DJ Snake,10,0.6738999999999999,0.7901,6.4,-4.245,0.10768,0.05816600000000001,0.095362492,0.15406,0.30885,124.0074,918026835.5,6777583.1,209806.8,207785.6,773946279.9
Migos,10,0.8511,0.6224000000000001,3.6,-5.7832,0.19745000000000001,0.131023,3.4849000000000005e-05,0.17963,0.3773,147.2063,393033352.4,2488277.9,82906.1,256233.3,578095613.1
Tyler Childers,10,0.5171,0.4598,7.0,-8.5577,0.03713,0.6043999999999999,0.004321375,0.29430000000000006,0.5669,112.7085,19752779.8,56052.4,1406.3,208056.0,115116865.3
Little Mix,10,0.6299000000000001,0.7412,5.4,-4.6667000000000005,0.07483999999999999,0.15697,3.8898999999999995e-05,0.18324,0.5692,110.16779999999999,307222799.7,2635957.8,122099.1,216389.6,347815751.4
Israel & Rodolffo,10,0.6450000000000001,0.8472999999999999,4.6,-4.7478,0.05972999999999999,0.36157999999999996,0.0,0.6881999999999999,0.6483000000000001,140.8936,0.0,0.0,0.0,156164.7,67192034.0
Sid Sriram,10,0.5585,0.5092,3.9,-8.302299999999999,0.042769999999999996,0.5393999999999999,6.3187e-05,0.18041000000000001,0.3513,112.9471,31847182.2,346589.5,5143.6,272441.0,36680870.7
TV Girl,10,0.6261,0.795,4.1,-6.0691,0.04346,0.299000753,0.13845469999999999,0.24522,0.6861999999999999,104.99940000000001,196253.3,7159.1,187.3,196056.5,86540331.0
Darell,10,0.8064,0.6823999999999999,4.2,-4.945,0.20669999999999997,0.29372000000000004,0.000723647,0.10601000000000001,0.5121,134.8721,438466832.6,2303912.2,68804.5,246143.1,183250509.9
Takeoff,10,0.8193999999999999,0.5992,5.8,-6.5556,0.21248,0.153314,1.044e-06,0.18719999999999998,0.4276,133.1924,24536430.4,351739.6,14401.4,193211.8,56246287.9
Troye Sivan,10,0.6401,0.6691,7.0,-6.5756,0.07485,0.062266,0.000592401,0.09956000000000001,0.4833,103.4146,93813946.9,1085766.7,31446.0,204553.6,360196627.8
Tulus,10,0.5628,0.3869,6.2,-9.2264,0.0363,0.7577,0.008998532,0.10986,0.5473,100.13309999999998,36290661.8,242256.4,12672.5,217669.4,83614184.1
AJR,10,0.5994,0.6241000000000001,4.7,-6.1603,0.07998,0.103115,3.371e-06,0.22335000000000002,0.6071,132.2106,42898728.4,699660.0,22490.8,194995.4,164594898.0
Bastille,10,0.6148,0.7726,5.5,-5.4374,0.05827000000000001,0.19195,2.2856e-05,0.20139999999999997,0.5250999999999999,115.5051,193774917.1,2060452.4,100007.7,208750.3,408851937.7
C. Tangana,10,0.7706999999999999,0.5767,5.2,-6.529299999999999,0.14711999999999997,0.25482,0.0013320469999999998,0.14485,0.509,117.4426,59264702.6,491866.9,9474.2,183755.9,144719505.9
Clean Bandit,10,0.7377,0.6609,5.9,-5.6699,0.06371,0.24181,1.5909999999999995e-05,0.19116000000000002,0.5757000000000001,116.68529999999998,591048136.9,3340987.8,77488.0,206247.9,573125639.7
Aleman,10,0.7565,0.6535000000000001,7.3,-6.663499999999999,0.27440000000000003,0.22562,2.34e-06,0.14016,0.6079000000000001,109.8356,78696147.1,834506.0,21938.7,204383.2,65718618.5
Chance the Rapper,10,0.6799999999999999,0.6439,4.9,-7.0222,0.2745,0.18132700000000002,8.409999999999999e-06,0.10517999999999998,0.49850000000000005,113.2444,60216373.5,713845.3,29465.6,228764.2,304494123.4
Natti Natasha,10,0.7541,0.7749,7.4,-4.4826,0.08254999999999998,0.22608299999999998,0.026618272999999998,0.18238000000000001,0.7374,116.0356,808532392.9,3215914.8,122308.4,217443.2,290790965.1
Topic,10,0.7112,0.7434000000000001,8.5,-5.412299999999999,0.07263,0.11299999999999999,3.873e-05,0.18851999999999997,0.5856,124.60830000000001,30756728.7,229085.6,2825.8,162632.3,219322939.6
Mabel Matiz,10,0.5889,0.6453,8.0,-7.400800000000001,0.04297000000000001,0.15980099999999997,2.666e-05,0.14278,0.5910000000000001,110.2272,82233137.4,324147.3,18288.3,258002.8,31770671.0
White Noise Baby Sleep,10,0.06627,0.11986352999999998,5.9,-23.406,0.11950000000000001,0.6284001110000001,0.7332,0.2172,0.009211,47.25789999999999,219527.7,351.1,0.0,393430.1,147825417.6
Mon Laferte,10,0.4239,0.5687,6.9,-6.3146,0.045290000000000004,0.31156400000000006,0.026275545,0.1917,0.42010000000000003,141.31220000000002,185789530.5,811067.3,21463.8,236190.7,125421932.6
GIMS,10,0.6881999999999999,0.7928000000000001,5.4,-4.1461,0.11972000000000001,0.185832,0.008939381,0.16981000000000002,0.6291000000000001,128.0417,259874870.0,1275372.5,43509.8,220226.3,79435792.3
Lomepal,10,0.708,0.5458000000000001,4.9,-8.298300000000001,0.12336,0.5037,0.006970526,0.19016,0.33975999999999995,112.0316,20806868.8,165843.0,2766.0,198858.9,44181540.0
MNEK,10,0.6587000000000001,0.8113000000000001,7.1,-4.9387,0.06495,0.080504,0.0012974220000000001,0.22279000000000004,0.6022,126.10140000000001,113689990.7,655068.3,15493.2,183761.1,242834388.9
A$AP Ferg,10,0.7598,0.7297,5.7,-4.9491,0.19640000000000002,0.08836,0.01540626,0.24149999999999996,0.3863,123.96829999999997,49504075.0,477521.1,12074.2,206883.1,199247025.2
Flume,10,0.5173,0.646,4.7,-5.1075,0.07627999999999999,0.33475999999999995,0.00206208,0.1607,0.3264,112.84449999999997,35946806.5,287118.1,4567.9,220576.5,128307983.6
Lukas Graham,10,0.6563999999999999,0.5826,7.2,-5.5588,0.05444,0.287389,1.462e-05,0.19316999999999998,0.3698,125.08849999999998,185414514.1,1341835.2,39643.6,205466.1,278070446.5
Nekfeu,10,0.6605,0.5527,6.5,-8.0688,0.28082,0.3928,2.7385999999999995e-05,0.16791,0.3854,112.64490000000004,23187353.9,129778.3,4102.7,224876.0,59993983.9
Birdy,10,0.46869999999999995,0.47050000000000003,6.3,-7.972000000000001,0.03904,0.55693,0.000371379,0.12269000000000001,0.27860000000000007,121.5785,72465948.1,538090.3,12580.0,222649.2,196793754.7
Lasso,10,0.6578999999999999,0.6513000000000001,4.4,-4.721900000000001,0.049280000000000004,0.28054,3.44e-07,0.14933,0.6441000000000001,130.4499,36751504.6,329705.9,7699.7,205286.8,53675925.9
Gzuz,10,0.7314,0.6824,4.5,-7.1796999999999995,0.269,0.2274,0.00039885600000000006,0.18721000000000002,0.5462999999999999,129.7591,18583511.6,199729.9,7743.5,165354.8,56344281.0
Salmo,10,0.7064,0.7118999999999999,4.9,-6.258799999999999,0.18897999999999998,0.16038000000000002,2.74e-06,0.3403,0.5654,123.9135,21108963.5,130595.4,2865.6,184832.5,68500467.8
Ernia,10,0.6623,0.6437,5.4,-7.3241,0.30447,0.29374,4.49e-07,0.13818999999999998,0.5688,131.46869999999998,10990890.4,63938.3,1025.6,205910.1,33986852.2
Zendaya,10,0.5361,0.606,4.3,-8.0287,0.0923,0.2237819,0.005564100000000001,0.18922999999999998,0.3654,134.5842,57377695.3,648625.6,20320.1,207904.1,233658848.5
Khruangbin,10,0.6569,0.5277000000000001,5.5,-11.7391,0.05067000000000001,0.21329000000000004,0.39329600000000003,0.20427999999999996,0.7185,110.0243,2760414.1,40746.1,1242.7,252868.9,52778920.5
Falling In Reverse,10,0.48860000000000003,0.925,4.0,-3.0534,0.13445000000000001,0.010463299999999998,8.89e-07,0.22233,0.5479,148.7405,43464662.2,469969.6,27033.4,213816.6,92035649.2
Aimer,10,0.4638,0.7514000000000001,6.2,-4.9197,0.06154,0.13952029999999999,0.000583647,0.21517,0.5376000000000001,125.4455,28333908.7,223831.5,4974.8,228396.2,44063482.3
Leslie Odom Jr.,10,0.6641999999999999,0.4995,6.8,-8.707199999999998,0.35802999999999996,0.322,4.594e-06,0.22707000000000002,0.49510000000000004,132.9714,10131971.6,69184.7,2294.5,244374.8,175807606.9
FLETCHER,10,0.5893,0.5791,4.6,-6.667299999999999,0.08364,0.44208,0.0007271039999999999,0.14688,0.4307,106.97359999999999,4803540.8,78474.8,1619.7,159570.4,53080335.9
Tom Rosenthal,10,0.5538000000000001,0.11779000000000002,5.6,-15.375499999999999,0.03831,0.9564,0.16441722,0.10863,0.25647,121.86590000000001,8408055.2,114910.6,2137.7,170664.2,50947285.1
Kina,10,0.5573,0.24559999999999998,4.4,-14.780599999999998,0.06745999999999999,0.6495,0.159239814,0.13228,0.16899999999999998,99.043,14013204.7,280360.9,5710.0,156300.4,178509350.1
Iggy Azalea,10,0.8275,0.683,7.4,-5.8834,0.12134,0.081842,4.0236000000000006e-05,0.17521,0.4811000000000001,135.6977,263294990.8,1839685.2,77018.1,195067.2,187325968.2
JP Cooper,10,0.6177000000000001,0.6492000000000001,4.2,-6.0175,0.06908,0.22276,2.9399999999999996e-07,0.17251,0.41529999999999995,118.62939999999999,88246289.6,461827.2,7097.2,193700.1,199212985.7
Brett Young,10,0.5532999999999999,0.5721999999999999,7.2,-6.8576999999999995,0.034879999999999994,0.28982,1.4049999999999999e-06,0.09715,0.4469,104.66220000000001,107542407.1,511362.1,9968.6,208069.3,134282758.1
Río Roma,10,0.5468000000000001,0.6609,4.9,-5.7665999999999995,0.06294,0.33591000000000004,0.0,0.12061999999999999,0.5257000000000001,137.4917,106534483.3,508094.3,12194.8,219484.2,89909402.5
Santhosh Narayanan,10,0.6072,0.5187999999999999,3.4,-8.4982,0.11287,0.49458000000000013,0.00045992099999999996,0.20509000000000005,0.5364,125.24950000000001,74587958.1,687300.0,23955.2,259902.0,21474693.6
The Paper Kites,10,0.5479999999999999,0.24494000000000002,3.9,-16.095,0.03464,0.8709,0.2658553,0.11397000000000002,0.3516,112.3047,5381351.4,63061.9,1183.1,209837.9,77795464.1
